,xfoot,yfoot,xknee,yknee
1170,853.4545454545455,562.68006993007,767.0732217573221,438.60460251046027
1171,834.9945945945946,575.1153153153153,760.7112970711297,443.88702928870293
1172,816.120826709062,586.7090620031796,754.0101419878296,449.53346855983773
1173,794.7326283987916,597.8459214501511,746.1737373737374,455.1757575757576
1174,774.9030544488712,607.410358565737,737.2134387351779,459.99604743083006
1175,753.7191539365452,613.9565217391304,727.3763213530656,464.8266384778013
1176,734.7384020618557,619.5631443298969,718.284860557769,470.7231075697211
1177,715.1492146596859,624.4646596858639,708.1458733205375,475.15547024952014
1178,693.1072423398329,628.5612813370474,697.9012605042017,479.69117647058823
1179,672.8783422459893,632.2272727272727,685.3366935483871,483.41129032258067
1180,653.6026490066225,634.2847682119206,674.0112359550562,486.1292134831461
1181,634.7174211248285,636.4183813443072,660.7037735849057,489.52830188679246
1182,615.6180081855389,637.3233287858118,647.8349514563107,491.49126213592234
1183,597.5771276595744,638.3071808510638,634.3791102514507,493.2998065764023
1184,579.7455782312925,637.5918367346939,620.0,493.6034816247582
1185,562.0875,637.0402777777778,605.9638783269962,493.85361216730035
1186,545.4420190995908,635.1787175989086,591.472972972973,492.54633204633205
1187,528.6471354166666,633.0716145833334,577.3596153846154,490.91153846153844
1188,513.7803203661327,629.2883295194508,562.8792452830189,487.91509433962267
1189,499.70957613814755,625.4646781789639,548.8174097664544,483.96178343949043
1190,485.55725190839695,621.8259541984733,535.0428265524625,479.84796573875803
1191,470.0279569892473,615.2236559139785,522.4304635761589,474.6048565121413
1192,455.9836065573771,609.1183970856102,509.8366445916115,468.4370860927152
1193,442.4361313868613,602.0529197080292,497.33970276008495,461.78131634819533
1194,429.14230019493175,594.401559454191,486.2366589327146,454.41763341067286
1195,416.0486891385768,585.6629213483146,475.0964360587002,447.38993710691824
1196,403.3217550274223,576.6471663619744,465.24153498871334,438.63431151241537
1197,390.5608856088561,567.0350553505535,456.45739910313904,431.2017937219731
1198,378.34767025089604,556.8118279569892,448.15695067264573,422.63452914798205
1199,366.11439114391146,546.0184501845018,440.32671081677705,414.96467991169976
1200,354.24858757062145,535.5273069679849,433.2605210420842,406.9899799599198
1201,342.6575875486381,523.8929961089494,426.81335952848724,398.87033398821217
1202,331.4685714285714,511.88761904761907,421.15277777777777,391.0416666666667
1203,320.0869565217391,499.7213438735178,416.2107438016529,383.5123966942149
1204,310.5327102803738,486.9644859813084,411.9089068825911,375.94331983805665
1205,300.7447216890595,473.9654510556622,407.898406374502,368.6613545816733
1206,291.2820037105751,460.5992578849722,404.2879684418146,361.73570019723866
1207,282.93359375,447.091796875,401.6610878661088,355.7489539748954
1208,273.71729957805906,433.59282700421943,398.9466950959488,349.7910447761194
1209,266.4872340425532,419.70851063829787,396.6,343.94747474747476
1210,259.89357429718876,405.7309236947791,395.15644820295984,339.17124735729385
1211,254.4622030237581,391.45788336933043,393.1061224489796,334.05918367346936
1212,249.98837209302326,377.1372093023256,391.1746641074856,330.5700575815739
1213,246.19775280898875,363.5033707865169,389.9541984732824,326.6354961832061
1214,243.31428571428572,349.6612244897959,389.4321503131524,322.2630480167015
1215,240.4647577092511,336.3832599118943,391.09181141439205,318.0496277915633
1216,238.89940828402368,323.14595660749507,387.2840690978887,316.47792706333973
1217,238.3926380368098,310.16973415132924,387.25250501002006,313.7575150300601
1218,238.85390946502056,297.4485596707819,388.1880530973451,311.2212389380531
1219,240.4011976047904,285.4630738522954,385.95463137996217,308.9678638941399
1220,241.6522678185745,273.7451403887689,386.50301810865193,307.60764587525154
1221,243.77291666666667,263.1041666666667,385.88128772635815,306.32796780684106
1222,247.16458333333333,253.07916666666668,385.96919917864477,305.1375770020534
1223,251.12320328542094,243.0123203285421,385.8076923076923,304.3440170940171
1224,254.925,234.08541666666667,385.8835164835165,303.9428571428571
1225,259.24631578947367,225.7642105263158,386.38818565400845,303.53586497890296
1226,264.6680761099366,218.85412262156447,386.6545842217484,303.7100213219616
1227,273.1136363636364,208.81198347107437,387.06976744186045,304.10359408033827
1228,278.9382978723404,203.2148936170213,387.1777301927195,304.7494646680942
1229,285.7239263803681,198.88343558282207,387.8226495726496,305.94017094017096
1230,292.32244897959185,195.18979591836734,388.02904564315355,307.4792531120332
